Modelo,Escenario,Varianza,Paso,ECRPS_Mean
DeepAR,Estacionario_Lineal,3.0,5,1.0832126131967414
DeepAR,No_Estacionario_Lineal,0.2,1,0.635677885951051
DeepAR,No_Estacionario_Lineal,0.2,2,0.7107752816907709
DeepAR,No_Estacionario_Lineal,0.2,3,0.9085785150522584
DeepAR,No_Estacionario_Lineal,0.2,4,0.8784930756328697
DeepAR,No_Estacionario_Lineal,0.2,5,0.7283823563403612
DeepAR,No_Estacionario_Lineal,0.5,1,1.3439783135201018
DeepAR,No_Estacionario_Lineal,0.5,2,1.2380317882666811
DeepAR,No_Estacionario_Lineal,0.5,3,1.4692301258518354
DeepAR,No_Estacionario_Lineal,0.5,4,1.188272859620392
DeepAR,No_Estacionario_Lineal,0.5,5,1.407151834595087
DeepAR,No_Estacionario_Lineal,1.0,1,2.115697117573013
DeepAR,No_Estacionario_Lineal,1.0,2,2.3248733521191394
DeepAR,No_Estacionario_Lineal,1.0,3,2.786179654227234
DeepAR,No_Estacionario_Lineal,1.0,4,1.6145339839168251
DeepAR,No_Estacionario_Lineal,1.0,5,1.406154025476259
DeepAR,No_Estacionario_Lineal,3.0,1,2.884963531508061
DeepAR,No_Estacionario_Lineal,3.0,2,2.821139851796258
DeepAR,No_Estacionario_Lineal,3.0,3,3.4560961583455616
DeepAR,No_Estacionario_Lineal,3.0,4,4.3934297243895655
DeepAR,No_Estacionario_Lineal,3.0,5,4.7922348563443125
DeepAR,No_Lineal,0.2,1,0.2795262061683485
DeepAR,No_Lineal,0.2,2,0.27552618404231227
DeepAR,No_Lineal,0.2,3,0.28230388014735724
DeepAR,No_Lineal,0.2,4,0.28164566535528707
DeepAR,No_Lineal,0.2,5,0.28267139141218073
DeepAR,No_Lineal,0.5,1,0.4707864001077781
DeepAR,No_Lineal,0.5,2,0.444394086184598
DeepAR,No_Lineal,0.5,3,0.43443363750939545
DeepAR,No_Lineal,0.5,4,0.42657533277284426
DeepAR,No_Lineal,0.5,5,0.4509133515865325
DeepAR,No_Lineal,1.0,1,0.6159007480441869
DeepAR,No_Lineal,1.0,2,0.6112664415419161
DeepAR,No_Lineal,1.0,3,0.613668679591057
DeepAR,No_Lineal,1.0,4,0.6503122351872523
DeepAR,No_Lineal,1.0,5,0.5987053151299596
DeepAR,No_Lineal,3.0,1,1.0601495800633067
DeepAR,No_Lineal,3.0,2,1.0839973911440668
DeepAR,No_Lineal,3.0,3,1.081285171877366
DeepAR,No_Lineal,3.0,4,1.0977220502153822
DeepAR,No_Lineal,3.0,5,1.056822350392363
EnCQR-LSTM,Estacionario_Lineal,0.2,1,0.2880365289826449
EnCQR-LSTM,Estacionario_Lineal,0.2,2,0.30275321094559093
EnCQR-LSTM,Estacionario_Lineal,0.2,3,0.28924560381947556
EnCQR-LSTM,Estacionario_Lineal,0.2,4,0.2989989974279034
EnCQR-LSTM,Estacionario_Lineal,0.2,5,0.3068772440278822
EnCQR-LSTM,Estacionario_Lineal,0.5,1,0.5298947130647795
EnCQR-LSTM,Estacionario_Lineal,0.5,2,0.4921380526298766
EnCQR-LSTM,Estacionario_Lineal,0.5,3,0.5079858338011252
EnCQR-LSTM,Estacionario_Lineal,0.5,4,0.5250898533527714
EnCQR-LSTM,Estacionario_Lineal,0.5,5,0.49383385892455234
EnCQR-LSTM,Estacionario_Lineal,1.0,1,0.7608022289687394
